perturbation,label,source,source_detail,n_reactome_pathways
B2M,MHC_I_ANTIGEN_PRES,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",12
CCND1,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",18
CCND2,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",4
CD44,IFNG_JAK_STAT,Reactome,R-HSA-877300 Interferon gamma signaling,10
CD58,CD58,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",2
CDK4,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",19
CDK6,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",9
CDKN1A,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",25
CDKN2A,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",20
CDKN2B,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",5
CHCHD2,MITO_RESPIRATION_TCA,Reactome,R-HSA-1268020 Mitochondrial protein import,2
CKS1B,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",2
CTSA,LYSOSOMAL_CATHEPSIN,Reactome,R-HSA-2132295 MHC class II antigen presentation,6
CTSB,LYSOSOMAL_CATHEPSIN,Reactome,R-HSA-2132295 MHC class II antigen presentation,8
CTSD,LYSOSOMAL_CATHEPSIN,Reactome,R-HSA-2132295 MHC class II antigen presentation,7
CTSL,LYSOSOMAL_CATHEPSIN,Reactome,R-HSA-2132295 MHC class II antigen presentation,13
CTSO,LYSOSOMAL_CATHEPSIN,Reactome,R-HSA-2132295 MHC class II antigen presentation,7
E2F1,CDK4_6_CYCLIN_D,Frangieh2021_paper_module,"paper-discussed programme (manual, from publication text)",17
EIF2S3,TRANSLATION_INITIATION,Reactome,R-HSA-72649 Translation initiation complex formation,12
EIF3K,TRANSLATION_INITIATION,Reactome,R-HSA-72649 Translation initiation complex formation,7
